PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,piece_count,pawn_count,what_mate,white_pieces,black_pieces
eTGRS,8/8/8/4r3/3rk3/1Q4P1/6K1/8 w - - 8 60,e3e4 b3f3,1061,80,93,240,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/yyRhuzvV/black#117,,6,1,1,3,3
jj34I,8/1r6/1p6/5R2/3k4/2b2K2/B7/8 w - - 7 55,g7b7 f5d5,1059,77,86,102,endgame master mate mateIn1 oneMove,https://lichess.org/pNOtAI8l/black#107,,7,1,1,3,4
RCT39,8/8/2rp2R1/R7/2k5/2r5/P2K4/8 w - - 0 45,f3c3 g6g4,1056,76,100,309,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/CzmSHjMT/black#87,,8,2,1,4,4
WPgGq,4k3/8/1p3P2/4N1R1/1n2K2p/8/5r2/8 w - - 1 48,h2f2 g5g8,1049,94,100,59,endgame mate mateIn1 oneMove,https://lichess.org/0Y8KfM6U/black#93,,9,3,1,4,5
HiPwM,8/7p/6bK/8/R7/5p1k/5Br1/8 w - - 12 66,g4h3 a4h4,1043,113,100,24,endgame mate mateIn1 oneMove,https://lichess.org/1ajq37lh/black#129,,8,2,1,3,5
gHj6s,R7/8/8/8/5r2/4K3/8/4kq2 w - - 0 69,f2f1q a8a1,1043,151,40,18,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/a86Ip5cQ/black#135,,5,0,1,2,3
D9j96,8/6R1/5pNp/7k/6n1/6P1/1r6/6K1 w - - 0 40,g5h5 g6f4,1041,239,88,18,endgame mate mateIn1 oneMove,https://lichess.org/bBkev2Vz/black#77,,9,3,1,4,5
OygeM,5K2/4Q1pk/7r/7b/7p/8/8/8 w - - 6 74,g6h5 e7g7,1038,134,100,16,endgame mate mateIn1 oneMove,https://lichess.org/jk11xtZO/black#145,,7,2,1,2,5
mHUXB,5k2/4n1p1/3RP3/r7/8/5K2/8/8 w - - 1 40,a1a5 d6d8,1034,178,100,9,endgame mate mateIn1 oneMove,https://lichess.org/vFTCUEsr/black#77,,7,2,1,3,4
XxZBi,8/2k5/1p3R2/6R1/r7/8/1r6/6K1 w - - 4 50,d6c7 g5g7 c7d8 f6f8,1029,77,70,56,endgame mate mateIn2 rookEndgame short,https://lichess.org/1wglgNvJ/black#97,,7,1,2,3,4
5RGN8,8/8/5Br1/7k/5R2/5p2/6bK/8 w - - 31 75,h6h5 f4h4,1028,82,52,102,endgame mate mateIn1 oneMove,https://lichess.org/R1z4mGpq/black#147,,7,1,1,3,4
WpxPG,8/8/3N1R2/8/2PK2p1/3P2k1/6rr/8 w - - 7 53,f4g3 d6e4 g3h4 f6h6,1027,75,99,1173,anastasiaMate endgame mate mateIn2 short,https://lichess.org/dtHtoxvG/black#103,,9,3,2,5,4
6YYh2,6k1/6P1/2B4P/6K1/8/3b4/8/1r6 w - - 0 56,a6d3 c6d5 g8h7 g7g8q,1024,79,94,5703,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/nbPoJWqE/black#109,,7,2,2,4,3
Ip7sX,R7/6pk/8/r5P1/8/r7/6RK/8 w - - 0 55,a4a5 g5g6 h7h6 a8h8,1010,107,60,40,endgame mate mateIn2 rookEndgame short,https://lichess.org/pIPytUhH/black#107,,8,2,2,4,4
zetUD,8/5r2/R7/8/8/4K3/8/4kq2 w - - 0 65,f2f1q a6a1,1008,96,78,65,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/WsofYMoY/black#127,,5,0,1,2,3
hnh3U,8/6pk/1R6/7b/5K2/5N2/8/r7 w - - 3 64,g1a1 f3g5 h7h8 b6b8 h5e8 b8e8,992,77,87,398,endgame long mate mateIn3,https://lichess.org/T6EO55hW/black#125,,7,1,3,3,4
ZFgRM,5r2/8/1R6/8/6b1/7k/5r2/4K1R1 w - - 2 54,e6g4 b6h6 g4h5 h6h5,991,78,83,261,endgame mate mateIn2 short,https://lichess.org/jEXJ5aCT/black#105,,7,0,2,3,4
BrcUV,5Q2/8/4r3/3qk3/8/6PK/5P1P/8 w - - 9 57,d6e5 f8f4,988,76,90,1268,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/5wSjQM04/black#111,,8,3,1,5,3
Bi8nC,8/1R6/5p2/p2Kb3/k7/1N6/r7/8 w - - 0 50,c2a2 b3c5 a4a3 b7b3,976,79,88,393,endgame mate mateIn2 short,https://lichess.org/XDD2nEDA/black#97,,8,2,2,3,5
2Qhre,8/8/1R6/2r2k2/6N1/5PK1/r7/8 w - - 6 48,c3c5 b6f6 f5g5 f3f4 g5h5 f6h6,976,77,97,6509,endgame long mate mateIn3,https://lichess.org/GJtJfC4T/black#93,,7,1,3,4,3
JPLmX,8/7R/1pBk4/1Pb2K2/8/8/r7/8 w - - 7 45,c7d6 h7d7,971,79,94,514,endgame mate mateIn1 oneMove,https://lichess.org/F5z8CIJf/black#87,,8,2,1,4,4
HfC1L,8/7p/1R6/4Nbk1/6p1/2K1P1r1/8/8 w - - 0 46,g2g3 e5f7 g5h5 b6h6,970,77,89,228,endgame mate mateIn2 short,https://lichess.org/Dr0zQ63N/black#89,,9,3,2,4,5
90eR8,5k2/5P1R/8/4K1p1/7N/8/8/7q w - - 1 62,e8f8 h4g6,963,108,100,27,endgame mate mateIn1 oneMove,https://lichess.org/EsKw4UIs/black#121,,7,2,1,4,3
R3eO9,3n1k2/4p3/2r5/1K4R1/2B5/8/8/8 w - - 7 45,c7c6 g5g8,961,102,93,612,endgame mate mateIn1 oneMove,https://lichess.org/6HA0MI8x/black#87,,7,1,1,3,4
tOJl0,8/p1r5/8/5R2/kPb5/2K5/8/8 w - - 5 59,b5a4 f5a5,957,122,89,75,endgame mate mateIn1 oneMove,https://lichess.org/BpplTaP6/black#115,,7,2,1,3,4
